OBJECTID,NameplateC,OperatingM,OperatingY,Shape__Area,Shape__Length
1,3.3,10,2020,190110.599205017,1702.73987028159
2,3.3,10,2020,309871.836708069,3943.53102617789
3,0,6,2022,541180.692489624,3401.31404357833
4,1.8,12,2020,227262.532539368,2519.6304372652
5,0,10,2021,701701.361633301,4422.93901100904
6,2,12,2017,375593.519245148,2339.8187144035
7,4.8,11,2020,176402.35067749,2375.78552401906
8,4.8,11,2020,457020.608547211,3188.39533887614
9,0,3,2020,309244.377323151,2338.62758436956
10,0,9,2019,151164.369255066,1630.03743744354
11,1.2,8,2016,199482.163665771,2164.15858269571
12,0,9,2019,148261.669067383,2453.27627584646
13,0,9,2019,26330.3436203003,699.671568907164
14,0,3,2020,29040.5475997925,696.600503213897
15,0,10,2021,112751.636756897,1464.52371295096
16,0,5,2023,107824.094581604,2179.33945238722
17,0,6,2019,116076.72743988,1813.9424157772
18,0,9,2014,181935.534088135,1634.27922831948
19,0,2,2018,136008.684257507,1572.4361741671
20,0,6,2022,182673.647949219,1851.21675758218
21,1,11,2015,248158.243766785,2001.916886073
22,0,10,2021,1860568.41910553,7755.43859397119
23,2,12,2018,336585.984611511,2608.68604468318
24,1.8,6,2023,323640.963531494,2458.13770944806
25,0,9,2019,34021.8515853882,794.600562751521
26,0,10,2021,621757.745704651,5014.01750322342
27,3,1,2019,413162.065551758,2957.93567883334
28,0,11,2020,45114.8763046265,908.29206290752
29,0,9,2019,133436.330963135,1503.49483133771
30,0,9,2019,25394.0868339539,854.338534484213
31,0,9,2019,68149.226890564,1055.40001945845
32,0,10,2021,33797.3421287537,806.68147074065
33,0,9,2019,173229.688724518,1696.494293242
34,0,9,2019,120228.277008057,1860.21675844215
35,0,2,2018,31384.9992218018,710.258153353326
36,0,2,2018,31647.1160202026,745.661475834806
37,0,7,2023,128530.992523193,1552.46390357302
38,0,7,2023,30146.5965194702,713.647605773072
39,0,2,2018,36052.8525543213,888.468834944684
40,0,10,2021,126838.636222839,1530.64861078798
41,9.6,12,2021,248694.4740448,2563.75076578089
42,0,2,2018,168634.564537048,1840.6101075226
43,0,9,2023,448414.844299316,3450.5502693333
44,2.4,7,2020,361390.968551636,2690.00036728199
45,0,7,2023,489293.515708923,3134.81787573469
46,0,7,2023,803414.576789856,4717.15981401048
47,2.5,8,2019,437315.135482788,2798.05900631479
48,2,10,2018,390799.187461853,2948.61666579147
49,0,5,2023,512654.752334595,4782.57794350726
50,0,5,2023,465957.925170898,3238.21517800827
51,0,2,2018,33294.676651001,746.146601593447
52,3,9,2023,641031.677436829,4503.49378941472
53,5,8,2020,698176.560546875,4743.63294609964
54,0,11,2020,62947.6391296387,1040.25849561844
55,1.6,12,2018,501973.111076355,3684.84127687537
56,1.5,7,2015,205294.48160553,1822.24934060132
57,2,6,2019,434126.882301331,3238.29371798626
58,0,5,2023,338088.382202148,2951.32677449145
59,4.3,12,2021,535811.298377991,3594.21404122547
60,10,9,2019,1897299.9599762,6160.94946045216
61,16.2,5,2019,2562022.16146851,8463.28259675411
62,0,5,2023,112060.052017212,1447.37787318094
63,0,10,2021,35082.8623695374,886.749984849956
64,1.8,1,2020,274094.372982025,2198.45914610059
65,1.9,5,2013,344535.708667755,2929.58938314206
66,3,12,2020,695392.975040436,3301.70866573945
67,10,11,2023,5673745.24353027,13790.5014384947
68,0,8,2016,199778.909412384,1775.20481833423
69,40.7,12,2023,1870970.72169876,6399.32905243262
70,0,5,2023,330043.218864441,2548.97808871298
71,0,10,2023,1195747.04785919,4781.56131732722
72,0,10,2023,544911.635047913,3901.3588932834
73,0,5,2023,2466675.52223206,6493.20607370631
74,0,12,2019,460331.318077087,3081.59394421286
75,0,12,2019,155013.484928131,1681.84010550433
76,0,12,2019,122515.94839859,1590.12023652159
77,0,12,2019,226674.48154068,1999.01627616828
78,24,12,2019,1912960.08404922,6655.79790926501
79,10,12,2022,2859023.5266037,9359.24031774696
80,0,2,2018,58531.4871330261,988.20922898078
81,0,9,2019,104631.464519501,1457.43611022227
82,0,3,2020,28418.8179512024,672.554767086657
83,0,9,2019,30845.4106674194,734.594979971218
84,3.1,10,2018,76682.1831245422,1110.24880851958
85,3.1,10,2018,56423.6731491089,938.863016327743
86,3.1,10,2018,112503.77703476,1523.12466533508
87,0,3,2020,33974.9982719421,906.653609224965
88,0,2,2020,31309.6173248291,804.391230701495
89,0,9,2019,33741.2203826904,794.06410692628
90,0,9,2019,29735.6801338196,704.622582151752
91,0,10,2021,23708.1087722778,622.893572779868
92,0,9,2019,27989.2306060791,679.283451486206
93,0,10,2021,31252.4609832764,790.78512287482
94,0,2,2020,153495.956710815,1606.93621724204
95,0,2,2018,41093.158821106,782.039976905765
96,0,2,2018,33155.5973091125,777.726989688749
97,0,2,2018,37225.0239753723,778.592602711589
98,0,11,2022,13045.2084465027,506.257692846952
99,0,9,2019,33223.1506538391,908.35164875107
100,0,9,2019,26455.502456665,690.077493612236
101,1.3,1,2020,208650.356182098,2384.63112591358
102,2,12,2017,82151.0091285706,1160.38854725477
103,2,12,2017,374042.867095947,2551.26848068749
104,0,10,2021,540061.006427765,3050.74667228155
105,1.5,12,2017,263969.560756683,2142.89756928925
106,3,12,2017,537148.190299988,3110.91167020006
107,0,3,2020,33920.2253990173,819.600738574223
108,0,12,2022,961184.22313118,5154.77125517792
109,0,9,2019,116403.992050171,1563.23616278196
110,2.5,9,2020,234035.546392441,1977.01790972818
111,4,12,2018,734604.9621315,5030.70803347802
112,0,11,2022,491352.075935364,3295.04945854109
113,0,3,2020,117558.662776947,1575.43057047512
114,3.8,10,2018,596892.985488892,3497.97126055865
115,3.1,10,2018,220150.311496735,1886.71132532845
116,0,9,2019,160393.919763565,1725.53999334503
117,0,2,2020,2154686.65386391,7197.65892612068
118,0,10,2021,101666.970561981,1303.38330494903
119,0,10,2021,34996.3760719299,738.23396481384
120,0,2,2018,32639.6215820313,732.593424338862
121,0,2,2018,35703.5993728638,751.991147635629
122,0,10,2021,143208.964096069,1771.74908180096
123,3.8,12,2020,252509.5651474,2187.26160567953
124,4.5,12,2019,236170.011917114,1942.23586618403
125,4.5,12,2019,91348.3195114136,1217.05011160507
126,4.5,12,2019,170694.168556213,1826.85617752276
127,4.5,12,2019,122085.065238953,1488.45582853307
